type;price;priсePerEarthsquare;houseSquare;earthSquare;floors;place;URL
house;14600000;36500;400;10.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/262803147/
house;14700000;98000;150;7.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/259400237/
cottage;14800000;64348;230;9.6;2;Киевское шоссе;https://www.cian.ru/sale/suburban/247720603/
house;14900000;39211;380;11.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/263229472/
house;14900000;102476;145.4;9.6;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/256621454/
house;14800000;113846;130;11.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263220386/
house;15000000;100000;150;7.0;2;;https://www.cian.ru/sale/suburban/265261073/
house;15000000;125000;120;6.0;;Боровское шоссе;https://www.cian.ru/sale/suburban/223849052/
cottage;15000000;100000;150;7.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/256500119/
house;15000000;70755;212;14.0;4;Калужское шоссе;https://www.cian.ru/sale/suburban/250222346/
house;14950000;81873;182.6;5.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/262564834/
house;15000000;129646;115.7;4.75;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/258227384/
house;15000000;98361;152.5;10.0;2;Минское шоссе;https://www.cian.ru/sale/suburban/262122176/
house;15000000;125000;120;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265169742/
house;15000000;112360;133.5;20.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/221496078/
house;15200000;30099;505;8.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/264927436/
house;15150000;40946;370;8.0;4;Варшавское шоссе;https://www.cian.ru/sale/suburban/245378268/
house;15300000;99351;154;4.5;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264567891/
house;15500000;110714;140;7.5;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264278558/
cottage;15500000;104730;148;4.7;;Калужское шоссе;https://www.cian.ru/sale/suburban/265374752/
cottage;15500000;104730;148;3.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/264046635/
house;15500000;130252;119;12.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/263419855/
house;15500000;96875;160;3.0;3;;https://www.cian.ru/sale/suburban/246660938/
house;15700000;92353;170;6.0;3;Варшавское шоссе;https://www.cian.ru/sale/suburban/261868162/
house;15700000;137719;114;8.3;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264986982/
house;15800000;60769;260;6.3;3;Киевское шоссе;https://www.cian.ru/sale/suburban/247967725/
cottage;15800000;60769;260;7.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/257131940/
cottage;15800000;60769;260;7.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/240675763/
cottage;15990000;106600;150;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263910353/
house;16000000;90909;176;5.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/262228765/
house;16000000;88889;180;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261400956/
house;16000000;106667;150;10.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265129309/
house;15900000;83465;190.5;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/254633779/
cottage;15900000;106000;150;9.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/257562459/
house;16300000;101875;160;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262540878/
house;16300000;47941;340;6.7;4;Калужское шоссе;https://www.cian.ru/sale/suburban/261800768/
house;16300000;101875;160;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/260198638/
house;16270038;94319;172.5;7.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/265095182/
house;16350000;148636;110;10.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/249011812/
house;16500000;133065;124;22.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262003108/
cottage;16500000;111486;148;4.7;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261529321/
house;16500000;110000;150;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264917709/
house;16500000;330000;50;5.0;2;;https://www.cian.ru/sale/suburban/265034444/
house;16499999;122677;134.5;15.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/262988532/
house;16500000;137500;120;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265214560/
cottage;16700000;34698;481.3;11.6;3;Калужское шоссе;https://www.cian.ru/sale/suburban/258567280/
house;16800000;48000;350;12.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/242741598/
house;16850000;93094;181;6.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/249249603/
house;17000000;76029;223.6;6.2;3;Киевское шоссе;https://www.cian.ru/sale/suburban/264880055/
house;16900000;80476;210;5.7;;Киевское шоссе;https://www.cian.ru/sale/suburban/258913016/
house;17000000;54839;310;6.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/252401076/
house;17000000;94972;179;5.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/226117078/
house;17000000;89474;190;5.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/256633053/
house;17000000;35052;485;10.0;4;Калужское шоссе;https://www.cian.ru/sale/suburban/150934702/
house;17300000;86500;200;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262551815/
cottage;17200000;144538;119;4.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/261080013/
cottage;17500000;81019;216;8.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/248758657/
cottage;17490000;50843;344;15.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/258213059/
house;17500000;49435;354;15.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/262552711/
house;17490000;50858;343.9;15.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/246853924/
house;17500000;145833;120;8.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/263494672/
cottage;17490000;53000;330;15.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264335106/
cottage;17500000;89286;196;9.0;;Варшавское шоссе;https://www.cian.ru/sale/suburban/263113642/
cottage;17490000;48719;359;15.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/245927487/
cottage;17490000;53000;330;15.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/253519294/
house;17500000;152174;115;15.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/257321783/
house;17500000;125000;140;6.8;2;Боровское шоссе;https://www.cian.ru/sale/suburban/264535454/
cottage;18000000;28571;630;14.7;4;Калужское шоссе;https://www.cian.ru/sale/suburban/253437287/
house;18000000;34951;515;20.0;3;Варшавское шоссе;https://www.cian.ru/sale/suburban/263158735/
cottage;17999000;99994;180;5.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/259693416/
cottage;18000000;60000;300;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/253011806/
house;18000000;75000;240;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262957998/
house;18000000;119205;151;6.0;2;;https://www.cian.ru/sale/suburban/263244506/
house;17900000;41628;430;14.0;1;Варшавское шоссе;https://www.cian.ru/sale/suburban/263076796/
cottage;17900000;68321;262;9.6;3;Киевское шоссе;https://www.cian.ru/sale/suburban/248469321/
house;17900000;111875;160;16.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/264215348/
house;18000000;92784;194;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264924732/
house;18000000;147541;122;8.3;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264422921/
house;17900000;52035;344;16.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/243651979/
cottage;18000000;75000;240;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262519198/
cottage;18500000;97368;190;5.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/238446610/
house;18600000;124000;150;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263463186/
house;18600000;50270;370;7.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/232213691/
cottage;18500000;77083;240;8.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/259661316/
house;18500000;127674;144.9;12.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264584559/
cottage;18600000;124000;150;10.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264349643/
cottage;18600000;124000;150;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264545028/
house;18600000;124000;150;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265214558/
house;18600000;77500;240;7.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264168919/
house;18500000;30833;600;15.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263718684/
house;18500000;92500;200;9.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264306285/
house;18500000;120208;153.9;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264485106/
house;18700000;124667;150;8.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264718406/
house;18800000;62667;300;6.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/263387501/
house;18800000;60450;311;12.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/264772247/
house;19000000;35849;530;8.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/256887900/
cottage;18900000;78750;240;8.3;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262364153/
house;19000000;95000;200;8.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/262690685/
house;18900000;137255;137.7;5.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264450718/
house;19000000;52778;360;8.98;2;Минское шоссе;https://www.cian.ru/sale/suburban/244683668/
cottage;18950000;118438;160;11.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263156828/
cottage;18900000;78750;240;8.3;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264077273/
house;18900000;78750;240;8.3;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263714360/
house;19000000;67857;280;20.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/225378457/
house;19000000;49621;382.9;10.5;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/258083099/
cottage;18990000;63300;300;8.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/258187118/
cottage;18900000;78750;240;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265311093/
house;18900000;74118;255;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264467691/
house;19500000;100000;195;7.5;;Калужское шоссе;https://www.cian.ru/sale/suburban/240392935/
house;19400000;35401;548;24.0;3;Варшавское шоссе;https://www.cian.ru/sale/suburban/263243633/
house;19500000;43333;450;20.0;;Варшавское шоссе;https://www.cian.ru/sale/suburban/213244180/
cottage;19500000;81250;240;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/256308143/
house;19500000;81250;240;8.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264168920/
house;19500000;39000;500;15.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/159738881/
house;19600000;122500;160;6.0;;Боровское шоссе;https://www.cian.ru/sale/suburban/240746139/
house;19700000;75769;260;20.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/254062652/
cottage;19900000;153077;130;12.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/253806912/
cottage;19900000;156693;127;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/229218548/
house;19800000;40408;490;14.16;2;Калужское шоссе;https://www.cian.ru/sale/suburban/236499709/
cottage;19900000;59403;335;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/245625558/
house;19990000;56629;353;6.0;3;Варшавское шоссе;https://www.cian.ru/sale/suburban/265089403/
house;19900000;79600;250;7.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/192945988/
cottage;19900000;104737;190;3.8;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264044313/
cottage;19900000;36182;550;17.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/258421123/
house;19900000;128387;155;14.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/259357091/
house;19990000;69410;288;25.0;2;Ленинградское шоссе;https://www.cian.ru/sale/suburban/250330476/
house;20000000;137931;145;10.5;1;Минское шоссе;https://www.cian.ru/sale/suburban/265031240/
house;20000000;142857;140;8.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/242521115/
house;20000000;68729;291;25.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/262832332/
cottage;20000000;100000;200;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262988282/
house;20000000;338983;59;10.0;1;Новорязанское шоссе;https://www.cian.ru/sale/suburban/250428446/
cottage;20000000;55402;361;15.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/249882470/
house;20000000;70423;284;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/259617881/
house;20000000;80000;250;6.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/265324297/
house;20000000;38314;522;10.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/256834622/
house;20150000;134333;150;9.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/257738786/
cottage;20000000;95238;210;15.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/264900134/
house;20000000;425532;47;11.0;1;Симферопольское шоссе;https://www.cian.ru/sale/suburban/257006299/
house;20300000;156154;130;6.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/260291361/
house;20500000;136667;150;27.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264364596/
house;20500000;94166;217.7;6.6;2;Киевское шоссе;https://www.cian.ru/sale/suburban/258021095/
house;20500000;82000;250;11.0;;Варшавское шоссе;https://www.cian.ru/sale/suburban/258124834/
cottage;20600000;82400;250;9.3;2;Калужское шоссе;https://www.cian.ru/sale/suburban/255201086/
cottage;20900000;95872;218;15.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/240590051/
cottage;20800000;49524;420;15.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/244494941/
house;20900000;95000;220;20.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264093607/
house;20900000;87083;240;12.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/262653402/
house;20900000;87083;240;15.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/234513951/
house;20900000;77407;270;11.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/241582509/
cottage;21000000;56757;370;10.5;2;Киевское шоссе;https://www.cian.ru/sale/suburban/227708944/
house;21000000;112903;186;7.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/263650726/
house;21000000;63636;330;5.2;2;Киевское шоссе;https://www.cian.ru/sale/suburban/247433020/
house;21000000;166667;126;9.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/259484287/
cottage;21000000;102439;205;4.6;2;Калужское шоссе;https://www.cian.ru/sale/suburban/257601569/
cottage;21200000;96364;220;9.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/260678350/
house;21500000;76786;280;15.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/265097471/
house;21500000;76786;280;15.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264915809/
house;21500000;358932;59.9;10.8;2;;https://www.cian.ru/sale/suburban/258248449/
cottage;21480000;78109;275;20.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/245433508/
house;21500000;43967;489;1485.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/263107867/
cottage;21500000;47778;450;11.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/256220958/
house;21500000;57135;376.3;23.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/235886498/
house;21850000;112629;194;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262461434/
cottage;21894000;84273;259.8;15.37;2;Калужское шоссе;https://www.cian.ru/sale/suburban/260408168/
cottage;21744000;83631;260;16.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/226871155/
house;22000000;68111;323;6.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/259754861/
house;22000000;140127;157;6.6;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/252688638/
house;22000000;110000;200;6.0;3;;https://www.cian.ru/sale/suburban/264950236/
cottage;22000000;90164;244;15.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/246115836/
cottage;21900000;115263;190;4.2;2;Калужское шоссе;https://www.cian.ru/sale/suburban/248227516/
cottage;22000000;58355;377;25.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/234250365/
house;22000000;73333;300;7.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/258888434/
cottage;21900000;99545;220;7.5;2;;https://www.cian.ru/sale/suburban/246907965/
house;22000000;134146;164;13.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/242984920/
house;22155000;75102;295;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262918794/
cottage;22500000;116279;193.5;10.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/264983885/
house;22500000;65598;343;10.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/259074344/
house;22490000;39456;570;12.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/261461450/
house;22700000;100309;226.3;10.0;2;Минское шоссе;https://www.cian.ru/sale/suburban/257064749/
cottage;22999000;56095;410;15.0;4;Калужское шоссе;https://www.cian.ru/sale/suburban/264452093/
house;22990000;99957;230;23.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/260998143/
cottage;22800000;126456;180.3;14.0;2;Минское шоссе;https://www.cian.ru/sale/suburban/264558181/
cottage;22900000;73871;310;11.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/262394624/
cottage;22900000;76333;300;13.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/245931991/
house;23000000;123258;186.6;8.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/258574356/
house;23000000;92000;250;6.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/263861726/
house;23000000;127778;180;48.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/225378002/
house;23100000;288750;80;10.0;1;Куркинское шоссе;https://www.cian.ru/sale/suburban/252673679/
house;23000000;125683;183;6.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/234523308/
house;23400000;31200;750;25.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/259976015/
cottage;23400000;49471;473;18.1;3;;https://www.cian.ru/sale/suburban/258515634/
house;23500000;71212;330;12.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264458489/
cottage;23500000;73438;320;12.4;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261351080/
house;23500000;48255;487;16.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/233278781/
house;23500000;75806;310;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264155592/
house;23500000;48958;480;12.0;3;Симферопольское шоссе;https://www.cian.ru/sale/suburban/263702898/
house;23500000;124339;189;9.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262380704/
cottage;23700000;72923;325;12.0;3;Боровское шоссе;https://www.cian.ru/sale/suburban/264355023/
house;23900000;77346;309;11.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/254996114/
house;23700000;36462;650;18.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/254098415/
cottage;24000000;78689;305;5.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/263863207/
house;24000000;84211;285;15.0;1;Киевское шоссе;https://www.cian.ru/sale/suburban/261080400/
cottage;24000000;80000;300;16.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/258328178/
house;24120000;102638;235;14.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/257773114/
cottage;24000000;111628;215;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263077327/
cottage;24000000;136364;176;6.43;;Киевское шоссе;https://www.cian.ru/sale/suburban/262544311/
house;24000000;133333;180;6.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/256985486/
cottage;24000000;87273;275;18.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/264508277/
cottage;24000000;141176;170;52.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/261814482/
cottage;24300000;93462;260;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/253845317/
house;24500000;116114;211;12.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/261123450/
house;24500000;67437;363.3;15.51;3;Калужское шоссе;https://www.cian.ru/sale/suburban/265189187/
cottage;24482000;123959;197.5;12.0;2;;https://www.cian.ru/sale/suburban/260406967/
cottage;24800000;55111;450;15.0;4;Боровское шоссе;https://www.cian.ru/sale/suburban/235651465/
house;24850000;90364;275;12.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/192945881/
cottage;25000000;89190;280.3;15.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/251907456/
cottage;25000000;67568;370;12.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/239370720/
cottage;25000000;49116;509;19.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/259365668/
cottage;24900000;71143;350;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/229967969/
house;25000000;65789;380;16.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/225885974/
house;25000000;119048;210;4.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/225603351/
cottage;24990000;111812;223.5;14.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/258661041/
cottage;24900000;71143;350;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/229967968/
house;24900000;144767;172;13.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/262924827/
house;25000000;75758;330;10.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/192946305/
cottage;25000000;124378;201;4.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/259063603/
cottage;24900000;70339;354;15.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/220875747/
house;25000000;50000;500;25.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/256404622/
house;25000000;71429;350;18.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/261617188/
cottage;25000000;40984;610;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/229968140/
cottage;24900000;101220;246;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264026922/
house;25000000;128535;194.5;10.8;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262046137/
house;25000000;88652;282;;3;Калужское шоссе;https://www.cian.ru/sale/suburban/264035384/
house;25000000;125000;200;32.0;2;;https://www.cian.ru/sale/suburban/263126671/
cottage;25000000;125000;200;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/251821385/
house;25000000;104167;240;36.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/192945711/
house;25000000;54348;460;15.0;3;Минское шоссе;https://www.cian.ru/sale/suburban/249016252/
house;24900000;61481;405;15.0;;Варшавское шоссе;https://www.cian.ru/sale/suburban/255850627/
house;25000000;151515;165;10.0;1;Калужское шоссе;https://www.cian.ru/sale/suburban/262465658/
cottage;25000000;178571;140;6.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/264371758/
cottage;25000000;62500;400;10.0;4;Киевское шоссе;https://www.cian.ru/sale/suburban/249021306/
house;25000000;128337;194.8;10.8;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262650663/
cottage;25000000;113636;220;4.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/235520401/
house;25000000;136612;183;15.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/258803892/
cottage;25370000;59000;430;15.0;3;Варшавское шоссе;https://www.cian.ru/sale/suburban/256363986/
house;25300000;96198;263;5.3;3;Калужское шоссе;https://www.cian.ru/sale/suburban/256634594/
cottage;25500000;108511;235;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263163195/
cottage;25600000;113778;225;5.8;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262048351/
house;25500000;87931;290;12.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/193055625/
house;25500000;98077;260;16.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262621742/
house;25500000;87031;293;12.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/259420846/
house;25600000;113274;226;5.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/265340661/
cottage;25500000;96995;262.9;15.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/259019754/
house;25500000;70190;363.3;15.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264076571/
house;25500000;148256;172;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264106368/
house;25800000;66154;390;15.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/234651271/
house;25900000;167097;155;4.6;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263951919/
house;26000000;90278;288;8.2;;Варшавское шоссе;https://www.cian.ru/sale/suburban/264233524/
house;26000000;54167;480;15.0;3;Боровское шоссе;https://www.cian.ru/sale/suburban/265119761/
house;26000000;86667;300;6.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/239409834/
cottage;25999000;92195;282;12.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/261354062/
house;26000000;128079;203;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264329806/
cottage;26000000;91873;283;13.3;2;Киевское шоссе;https://www.cian.ru/sale/suburban/263080011/
cottage;26000000;106122;245;12.67;3;Киевское шоссе;https://www.cian.ru/sale/suburban/262228763/
house;26000000;92857;280;14.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/264491748/
cottage;26400000;97778;270;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/246115821/
house;26500000;108075;245.2;20.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/253804151/
cottage;26600000;84984;313;15.6;3;Калужское шоссе;https://www.cian.ru/sale/suburban/245431951/
cottage;26500000;70856;374;15.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/265116671/
house;26500000;68831;385;6.0;;Боровское шоссе;https://www.cian.ru/sale/suburban/261494018/
cottage;26990000;72359;373;15.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/240059461/
cottage;26770000;101402;264;16.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/245430544/
house;26880000;141474;190;4.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/241340576/
cottage;26900000;131863;204;6.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/243753268/
cottage;27000000;80024;337.4;15.2;2;Калужское шоссе;https://www.cian.ru/sale/suburban/251904726/
cottage;27000000;54000;500;8.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/253842722/
house;27000000;72386;373;15.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/247791798/
house;27000000;60000;450;8.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/254038820/
cottage;27000000;60000;450;8.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/254394988/
house;27000000;150000;180;5.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262730783/
house;27000000;266798;101.2;5.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/264977624/
cottage;27500000;68750;400;12.0;2;Минское шоссе;https://www.cian.ru/sale/suburban/223990031/
house;27500000;152778;180;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264326374/
cottage;27500000;229167;120;19.03;1;Калужское шоссе;https://www.cian.ru/sale/suburban/259406394/
cottage;27500000;56584;486;15.0;3;Боровское шоссе;https://www.cian.ru/sale/suburban/215471255/
house;28000000;92409;303;8.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/226477099/
