type;price;priсePerEarthsquare;houseSquare;earthSquare;floors;place;URL
house;6500000;142544;45.6;9.0;1;Варшавское шоссе;https://www.cian.ru/sale/suburban/260010981/
house;6500000;43333;150;8.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/256203372/
house;6700000;148889;45;6.13;2;Калужское шоссе;https://www.cian.ru/sale/suburban/254750302/
house;6700000;164619;40.7;6.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/265123845/
house;6750000;87209;77.4;5.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265318839/
house;6800000;65385;104;5.49;2;Киевское шоссе;https://www.cian.ru/sale/suburban/263185244/
house;6900000;56098;123;20.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/247224152/
house;6970000;55317;126;6.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/261991707/
house;6950000;115833;60;8.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/257646710/
house;7000000;87500;80;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265088347/
house;7000000;87500;80;10.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/263121525/
house;7000000;233333;30;9.0;2;;https://www.cian.ru/sale/suburban/264981008/
house;7000000;304348;23;15.0;1;Ленинградское шоссе;https://www.cian.ru/sale/suburban/262801606/
house;7345000;63870;115;3.2;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/259929093/
house;7300000;76842;95;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263883653/
house;7300000;146000;50;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/258676988/
house;7300000;36500;200;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/207053936/
house;7350000;91875;80;13.5;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/253645294/
house;7490000;37450;200;10.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/264524486/
house;7490000;37450;200;9.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/255937146/
house;7450000;35476;210;7.5;3;Калужское шоссе;https://www.cian.ru/sale/suburban/264715970/
house;7500000;69444;108;6.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/264537100/
house;7500000;69444;108;6.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/256459452/
house;7500000;64103;117;5.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/257995134/
house;7500000;150000;50;10.0;1;Калужское шоссе;https://www.cian.ru/sale/suburban/265084249/
house;7500000;51335;146.1;10.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/263431666/
house;7500000;64433;116.4;4.63;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/264255099/
house;7500000;70755;106;8.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/265194799/
house;7500000;42857;175;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263904949/
house;7500000;115385;65;8.0;;;https://www.cian.ru/sale/suburban/262617604/
house;7500000;138889;54;6.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/262430737/
